N,Pop_Prob,Off_Prob,Tournament_Size,Value,Run_Gens
100,1.3250000000000002,1.775,2,"(100, -199)",18
100,1.775,2.0,14,"(100, -200)",17
100,2.0,1.775,14,"(100, -200)",17
100,1.1,2.0,5,"(100, -201)",16
100,1.775,1.55,14,"(100, -201)",17
100,1.55,1.775,2,"(100, -201)",31
100,1.55,1.775,5,"(100, -202)",23
100,1.775,1.775,2,"(100, -204)",25
100,1.775,2.0,2,"(100, -205)",24
100,1.1,1.1,2,"(100, -205)",34
100,2.0,1.1,14,"(100, -206)",18
100,2.0,1.3250000000000002,2,"(100, -207)",30
100,1.775,1.55,5,"(100, -208)",16
100,1.1,2.0,11,"(100, -208)",17
100,1.3250000000000002,1.3250000000000002,14,"(100, -209)",16
100,1.55,1.3250000000000002,8,"(100, -209)",19
100,1.3250000000000002,1.775,5,"(100, -210)",16
100,2.0,1.775,11,"(100, -210)",16
100,2.0,1.1,5,"(100, -210)",20
100,1.55,1.1,2,"(100, -210)",24
100,1.55,1.1,5,"(100, -210)",25
100,1.1,1.3250000000000002,8,"(100, -211)",16
100,2.0,2.0,8,"(100, -211)",18
100,1.775,1.3250000000000002,5,"(100, -211)",19
100,1.1,1.55,14,"(100, -212)",16
100,1.3250000000000002,1.1,11,"(100, -212)",17
100,1.1,1.55,11,"(100, -212)",22
100,1.775,1.3250000000000002,2,"(100, -212)",30
100,1.3250000000000002,2.0,14,"(100, -213)",16
100,1.3250000000000002,2.0,8,"(100, -213)",17
100,1.775,1.1,11,"(100, -213)",20
100,1.55,2.0,14,"(100, -214)",16
100,2.0,1.3250000000000002,14,"(100, -214)",16
100,2.0,1.55,14,"(100, -214)",16
100,2.0,1.775,2,"(100, -214)",35
100,1.775,2.0,5,"(100, -215)",18
100,2.0,1.3250000000000002,5,"(100, -215)",22
100,1.55,1.3250000000000002,2,"(100, -215)",24
100,1.775,1.1,2,"(100, -215)",34
100,1.1,1.1,11,"(100, -216)",16
100,1.1,2.0,14,"(100, -216)",16
100,1.3250000000000002,2.0,5,"(100, -217)",17
100,2.0,1.775,5,"(100, -217)",20
100,1.1,1.775,2,"(100, -217)",34
100,1.1,1.3250000000000002,14,"(100, -218)",16
100,1.775,1.775,8,"(100, -218)",16
100,1.55,2.0,11,"(100, -219)",16
100,1.775,1.1,14,"(100, -220)",17
100,1.55,1.775,8,"(100, -221)",16
100,1.775,1.775,14,"(100, -221)",18
100,1.55,1.3250000000000002,14,"(100, -222)",15
100,1.55,1.1,14,"(100, -222)",16
100,1.55,1.55,14,"(100, -222)",16
100,1.1,1.775,8,"(100, -222)",17
100,1.55,1.775,11,"(100, -223)",17
100,1.775,1.55,8,"(100, -223)",17
100,1.3250000000000002,1.1,14,"(100, -223)",18
100,2.0,1.1,8,"(100, -223)",20
100,1.775,1.775,5,"(100, -223)",21
100,1.3250000000000002,1.55,14,"(100, -224)",16
100,2.0,1.775,8,"(100, -224)",17
100,1.3250000000000002,1.3250000000000002,5,"(100, -224)",20
100,1.55,1.775,14,"(100, -226)",15
100,1.55,1.55,8,"(100, -226)",16
100,2.0,2.0,11,"(100, -226)",18
100,1.775,1.55,2,"(100, -226)",29
100,1.55,2.0,8,"(100, -227)",15
100,1.1,1.55,5,"(100, -227)",17
100,2.0,1.1,11,"(100, -227)",17
100,1.55,1.1,8,"(100, -227)",18
100,1.55,1.55,5,"(100, -227)",18
100,1.1,1.1,14,"(100, -227)",19
100,1.3250000000000002,2.0,11,"(100, -228)",16
100,1.55,2.0,5,"(100, -229)",16
100,1.775,1.775,11,"(100, -229)",16
100,1.55,1.3250000000000002,5,"(100, -229)",17
100,1.1,1.1,5,"(100, -229)",20
100,1.3250000000000002,1.1,5,"(100, -229)",24
100,1.775,1.1,5,"(100, -229)",24
100,1.3250000000000002,1.55,2,"(100, -229)",28
100,1.3250000000000002,1.55,5,"(100, -230)",17
100,1.775,1.55,11,"(100, -230)",18
100,2.0,2.0,5,"(100, -230)",18
100,1.3250000000000002,1.775,11,"(100, -231)",17
100,1.1,1.775,5,"(100, -231)",18
100,1.1,1.1,8,"(100, -231)",19
100,1.775,1.1,8,"(100, -231)",19
100,2.0,1.55,5,"(100, -232)",16
